dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,rider_type,riders,price,COGS
2021/01/01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,casual,3,3.99,1.24
2021/01/01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,casual,8,3.99,1.24
2021/01/01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,casual,5,3.99,1.24
2021/01/01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,casual,3,3.99,1.24
2021/01/01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,casual,0,3.99,1.24
2021/01/01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,casual,0,3.99,1.24
2021/01/01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,casual,2,3.99,1.24
2021/01/01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,casual,1,3.99,1.24
2021/01/01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,casual,1,3.99,1.24
2021/01/01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,casual,8,3.99,1.24
2021/01/01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,casual,12,3.99,1.24
2021/01/01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,casual,26,3.99,1.24
2021/01/01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,casual,29,3.99,1.24
2021/01/01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,casual,47,3.99,1.24
2021/01/01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,casual,35,3.99,1.24
2021/01/01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,casual,40,3.99,1.24
2021/01/01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,casual,41,3.99,1.24
2021/01/01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,casual,15,3.99,1.24
2021/01/01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,casual,9,3.99,1.24
2021/01/01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,casual,6,3.99,1.24
2021/01/01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,casual,11,3.99,1.24
2021/01/01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,casual,3,3.99,1.24
2021/01/01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,casual,11,3.99,1.24
2021/01/01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,casual,15,3.99,1.24
2021/01/02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,casual,4,3.99,1.24
2021/01/02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,casual,1,3.99,1.24
2021/01/02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,casual,1,3.99,1.24
2021/01/02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,casual,2,3.99,1.24
2021/01/02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,casual,2,3.99,1.24
2021/01/02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,casual,0,3.99,1.24
2021/01/02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,casual,0,3.99,1.24
2021/01/02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,casual,0,3.99,1.24
2021/01/02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,casual,1,3.99,1.24
2021/01/02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,casual,7,3.99,1.24
2021/01/02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,casual,16,3.99,1.24
2021/01/02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,casual,20,3.99,1.24
2021/01/02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,casual,11,3.99,1.24
2021/01/02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,casual,4,3.99,1.24
2021/01/02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,casual,19,3.99,1.24
2021/01/02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,casual,9,3.99,1.24
2021/01/02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,casual,7,3.99,1.24
2021/01/02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,casual,10,3.99,1.24
2021/01/02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,casual,1,3.99,1.24
2021/01/02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,casual,5,3.99,1.24
2021/01/02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,casual,11,3.99,1.24
2021/01/02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,casual,0,3.99,1.24
2021/01/02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,casual,0,3.99,1.24
